"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","14476","","","","","03/31/2021","","","","2:22","","","","","5","Regular","LUENBER","","","","13,112","4,948","13","","","","","","","","","","","","","","","",""
"","14476","","","","","03/31/2021","","","","4:35","","","","","5","Driving Pay","LUENBER","","","PIGGLY WIGGLY #282","","","","","","","","","","","","","","","","","","",""
"","14937","","","","","03/31/2021","","","","2:30","","","","","5","Regular","LUENBER","","","","19,639","7,269","0","","","","","","","","","","","","","","","",""
"","14937","","","","","03/31/2021","","","","","225","","","","5","JSA","LUENBER","","","PIGGLY WIGGLY #282","","","","","","","","","","","","","","","","","","",""
"","14243","","","","","03/31/2021","","","","2:31","","","","","5","Regular","LUENBER","","","","30,687","9,550","0","","","","","","","","","","","","","","","",""
"","14243","","","","","03/31/2021","","","","","225","","","","5","JSA","LUENBER","","","PIGGLY WIGGLY #282","","","","","","","","","","","","","","","","","","",""
"","14819","","","","","03/31/2021","","","","2:35","","","","","5","Regular","LUENBER","","","","21,985","7,639","0","","","","","","","","","","","","","","","",""
"","14819","","","","","03/31/2021","","","","","225","","","","5","JSA","LUENBER","","","PIGGLY WIGGLY #282","","","","","","","","","","","","","","","","","","",""
"","14493","","","","","03/31/2021","","","","2:36","","","","","5","Regular","LUENBER","","","","37,867","9,201","42","","","","","","","","","","","","","","","",""
"","14493","","","","","03/31/2021","","","","","225","","","","5","JSA","LUENBER","","","PIGGLY WIGGLY #282","","","","","","","","","","","","","","","","","","",""
"","15084","","","","","03/31/2021","","","","2:28","","","","","5","Regular","LUENBER","","","","10,281","4,270","8","","","","","","","","","","","","","","","",""
"","15084","","","","","03/31/2021","","","","","225","","","","5","JSA","LUENBER","","","PIGGLY WIGGLY #282","","","","","","","","","","","","","","","","","","",""
