"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","10052","","","","","01/09/2021","","","","3:31","","","","","1","Regular","DIRT077","","","","6,116","161","16","","","","","","","","","","","","","","","",""
"","10052","","","","","01/09/2021","","","","0:36","","","","","1","Driving Pay","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","14990","","","","","01/09/2021","","","","9:50","","","","","1","Regular","DIRT077","","","","8,043","678","151","","","","","","","","","","","","","","","",""
"","14990","","","","","01/09/2021","","","","","82","","","","1","JSA","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","14849","","","","","01/09/2021","","","","3:05","","","","","1","Regular","DIRT077","","","","8,617","205","27","","","","","","","","","","","","","","","",""
"","14849","","","","","01/09/2021","","","","0:46","","","","","1","Travel Pay","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","14437","","","","","01/09/2021","","","","8:45","","","","","1","Regular","DIRT077","","","","5,926","584","160","","","","","","","","","","","","","","","",""
"","14437","","","","","01/09/2021","","","","0:45","","","","","1","Driving Pay","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","14806","","","","","01/09/2021","","","","3:01","","","","","1","Regular","DIRT077","","","","15,421","320","34","","","","","","","","","","","","","","","",""
"","14806","","","","","01/09/2021","","","","0:46","","","","","1","Travel Pay","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","11114","","","","","01/09/2021","","","","10:7","","","","","1","Regular","DIRT077","","","","12,732","1,009","60","","","","","","","","","","","","","","","",""
"","11114","","","","","01/09/2021","","","","","82","","","","1","JSA","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","14742","","","","","01/09/2021","","","","8:35","","","","","1","Regular","DIRT077","","","","10,191","739","45","","","","","","","","","","","","","","","",""
"","14742","","","","","01/09/2021","","","","","17","","","","1","JSA","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","82","","","","","01/09/2021","","","","10:54","","","","","1","Regular","DIRT077","","","","18,685","2,974","41","","","","","","","","","","","","","","","",""
"","82","","","","","01/09/2021","","","","1:52","","","","","1","Driving Pay","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","14841","","","","","01/09/2021","","","","9:0","","","","","1","Regular","DIRT077","","","","8,798","797","105","","","","","","","","","","","","","","","",""
"","14841","","","","","01/09/2021","","","","","17","","","","1","JSA","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","14794","","","","","01/09/2021","","","","9:47","","","","","1","Regular","DIRT077","","","","12,024","1,215","73","","","","","","","","","","","","","","","",""
"","14794","","","","","01/09/2021","","","","","82","","","","1","JSA","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","15018","","","","","01/09/2021","","","","8:57","","","","","1","Regular","DIRT077","","","","6,356","605","46","","","","","","","","","","","","","","","",""
"","15018","","","","","01/09/2021","","","","","17","","","","1","JSA","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","14933","","","","","01/09/2021","","","","3:06","","","","","1","Regular","DIRT077","","","","13,261","322","18","","","","","","","","","","","","","","","",""
"","14933","","","","","01/09/2021","","","","0:46","","","","","1","Travel Pay","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","14935","","","","","01/09/2021","","","","3:01","","","","","1","Regular","DIRT077","","","","14,307","320","19","","","","","","","","","","","","","","","",""
"","14935","","","","","01/09/2021","","","","0:46","","","","","1","Travel Pay","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","12623","","","","","01/09/2021","","","","9:26","","","","","1","Regular","DIRT077","","","","5,685","609","141","","","","","","","","","","","","","","","",""
"","12623","","","","","01/09/2021","","","","","82","","","","1","JSA","DIRT077","","","DIRT CHEAP #077","","","","","","","","","","","","","","","","","","",""
"","10052","","","","","01/09/2021","","","","1:43","","","","","3","Regular","SF#3","","","","38,221","11,732","13","","","","","","","","","","","","","","","",""
"","10052","","","","","01/09/2021","","","","0:01","","","","","3","Driving Pay","SF#3","","","VOWELL S MARKET PLACE #4","","","","","","","","","","","","","","","","","","",""
"","14990","","","","","01/09/2021","","","","0:57","","","","","3","Regular","SF#3","","","","11,226","3,733","0","","","","","","","","","","","","","","","",""
"","14990","","","","","01/09/2021","","","","0:05","","","","","3","Travel Pay","SF#3","","","VOWELL S MARKET PLACE #4","","","","","","","","","","","","","","","","","","",""
