"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","6398","","","","","12/10/2020","","","","2:45","","","","","1","Regular","SHE1007","","","","24,228","5,505","26","","","","","","","","","","","","","","","",""
"","6398","","","","","12/10/2020","","","","0:15","","","","","1","Driving Pay","SHE1007","","","SHELL #1007","","","","","","","","","","","","","","","","","","",""
"","14761","","","","","12/10/2020","","","","2:35","","","","","1","Regular","SHE1007","","","","5,442","1,653","18","","","","","","","","","","","","","","","",""
"","6945","","","","","12/10/2020","","","","2:34","","","","","1","Regular","SHE1007","","","","12,980","4,769","16","","","","","","","","","","","","","","","",""
"","6398","","","","","12/10/2020","","","","2:9","","","","","1","Regular","SHE1037","","","","14,686","4,095","18","","","","","","","","","","","","","","","",""
"","6398","","","","","12/10/2020","","","","0:23","","","","","1","Driving Pay","SHE1037","","","SHELL #1037 (BP)","","","","","","","","","","","","","","","","","","",""
"","14761","","","","","12/10/2020","","","","1:59","","","","","1","Regular","SHE1037","","","","5,390","2,488","16","","","","","","","","","","","","","","","",""
"","14761","","","","","12/10/2020","","","","0:15","","","","","1","Travel Pay","SHE1037","","","SHELL #1037 (BP)","","","","","","","","","","","","","","","","","","",""
"","6945","","","","","12/10/2020","","","","1:59","","","","","1","Regular","SHE1037","","","","13,621","6,552","0","","","","","","","","","","","","","","","",""
"","6945","","","","","12/10/2020","","","","0:15","","","","","1","Travel Pay","SHE1037","","","SHELL #1037 (BP)","","","","","","","","","","","","","","","","","","",""
"","2053","","","","","12/10/2020","","","","4:30","","","","","3","Regular","SHE1022","","","","9,855","2,393","57","","","","","","","","","","","","","","","",""
"","2053","","","","","12/10/2020","","","","1:35","","","","","3","Driving Pay","SHE1022","","","SHELL #1022 (BROOKHAVEN)","","","","","","","","","","","","","","","","","","",""
"","10437","","","","","12/10/2020","","","","4:16","","","","","3","Regular","SHE1022","","","","5,784","2,386","26","","","","","","","","","","","","","","","",""
"","10437","","","","","12/10/2020","","","","","77","","","","3","JSA","SHE1022","","","SHELL #1022 (BROOKHAVEN)","","","","","","","","","","","","","","","","","","",""
"","2053","","","","","12/10/2020","","","","3:10","","","","","3","Regular","SHE1061","","","","16,593","4,339","33","","","","","","","","","","","","","","","",""
"","2053","","","","","12/10/2020","","","","2:36","","","","","3","Driving Pay","SHE1061","","","SHELL #1061","","","","","","","","","","","","","","","","","","",""
"","10437","","","","","12/10/2020","","","","2:56","","","","","3","Regular","SHE1061","","","","6,751","2,998","0","","","","","","","","","","","","","","","",""
"","10437","","","","","12/10/2020","","","","0:36","","","","","3","Travel Pay","SHE1061","","","SHELL #1061","","","","","","","","","","","","","","","","","","",""
"","10437","","","","","12/10/2020","","","","","80","","","","3","JSA","SHE1061","","","SHELL #1061","","","","","","","","","","","","","","","","","","",""
"","13423","","","","","12/10/2020","","","","4:44","","","","","3","Regular","KEI117","","","","20,690","5,164","22","","","","","","","","","","","","","","","",""
"","13423","","","","","12/10/2020","","","","","42","","","","3","JSA","KEI117","","","KEITHS #117","","","","","","","","","","","","","","","","","","",""
"","12406","","","","","12/10/2020","","","","5:24","","","","","3","Regular","KEI117","","","","19,017","5,236","63","","","","","","","","","","","","","","","",""
"","12406","","","","","12/10/2020","","","","1:10","","","","","3","Driving Pay","KEI117","","","KEITHS #117","","","","","","","","","","","","","","","","","","",""
"","13423","","","","","12/10/2020","","","","2:59","","","","","3","Regular","KEI140","","","","37,270","10,968","7","","","","","","","","","","","","","","","",""
"","13423","","","","","12/10/2020","","","","0:43","","","","","3","Driving Pay","KEI140","","","KEITHS #140","","","","","","","","","","","","","","","","","","",""
"","13423","","","","","12/10/2020","","","","0:45","","","","","3","Travel Pay","KEI140","","","KEITHS #140","","","","","","","","","","","","","","","","","","",""
"","12406","","","","","12/10/2020","","","","3:40","","","","","3","Regular","KEI140","","","","23,727","6,235","18","","","","","","","","","","","","","","","",""
"","12406","","","","","12/10/2020","","","","0:45","","","","","3","Driving Pay","KEI140","","","KEITHS #140","","","","","","","","","","","","","","","","","","",""
"","12406","","","","","12/10/2020","","","","","25","","","","3","JSA","KEI140","","","KEITHS #140","","","","","","","","","","","","","","","","","","",""
"","14757","","","","","12/10/2020","","","","3:45","","","","","5","Regular","GREER04","","","","12,505","4,147","9","","","","","","","","","","","","","","","",""
"","14757","","","","","12/10/2020","","","","","95","","","","5","JSA","GREER04","","","GREERS #04","","","","","","","","","","","","","","","","","","",""
"","14243","","","","","12/10/2020","","","","3:40","","","","","5","Regular","GREER04","","","","19,466","5,249","55","","","","","","","","","","","","","","","",""
"","14243","","","","","12/10/2020","","","","","95","","","","5","JSA","GREER04","","","GREERS #04","","","","","","","","","","","","","","","","","","",""
"","14856","","","","","12/10/2020","","","","3:48","","","","","5","Regular","GREER04","","","","14,511","6,360","0","","","","","","","","","","","","","","","",""
"","14856","","","","","12/10/2020","","","","1:55","","","","","5","Driving Pay","GREER04","","","GREERS #04","","","","","","","","","","","","","","","","","","",""
"","10401","","","","","12/10/2020","","","","3:48","","","","","5","Regular","GREER04","","","","44,414","18,581","33","","","","","","","","","","","","","","","",""
"","10401","","","","","12/10/2020","","","","","95","","","","5","JSA","GREER04","","","GREERS #04","","","","","","","","","","","","","","","","","","",""
"","14855","","","","","12/10/2020","","","","3:50","","","","","5","Regular","GREER04","","","","17,050","6,386","0","","","","","","","","","","","","","","","",""
"","14855","","","","","12/10/2020","","","","","188","","","","5","JSA","GREER04","","","GREERS #04","","","","","","","","","","","","","","","","","","",""
"","14757","","","","","12/10/2020","","","","0:23","","","","","5","Regular","GREER4L","","","","46,130","3,287","0","","","","","","","","","","","","","","","",""
"","14757","","","","","12/10/2020","","","","","94","","","","5","JSA","GREER4L","","","GREERS #04 - LIQUOR","","","","","","","","","","","","","","","","","","",""
"","14243","","","","","12/10/2020","","","","0:25","","","","","5","Regular","GREER4L","","","","35,448","4,284","0","","","","","","","","","","","","","","","",""
"","14243","","","","","12/10/2020","","","","","94","","","","5","JSA","GREER4L","","","GREERS #04 - LIQUOR","","","","","","","","","","","","","","","","","","",""
"","14856","","","","","12/10/2020","","","","0:26","","","","","5","Regular","GREER4L","","","","30,346","3,265","0","","","","","","","","","","","","","","","",""
"","14856","","","","","12/10/2020","","","","1:54","","","","","5","Driving Pay","GREER4L","","","GREERS #04 - LIQUOR","","","","","","","","","","","","","","","","","","",""
"","10401","","","","","12/10/2020","","","","0:35","","","","","5","Regular","GREER4L","","","","22,700","7,783","0","","","","","","","","","","","","","","","",""
"","10401","","","","","12/10/2020","","","","","94","","","","5","JSA","GREER4L","","","GREERS #04 - LIQUOR","","","","","","","","","","","","","","","","","","",""
"","14230","","","","","12/10/2020","","","","7:20","","","","","12","Regular","K#696","","","","24,739","5,432","5","","","","","","","","","","","","","","","",""
"","14230","","","","","12/10/2020","","","","","19","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","6447","","","","","12/10/2020","","","","7:33","","","","","12","Regular","K#696","","","","32,785","6,452","26","","","","","","","","","","","","","","","",""
"","6447","","","","","12/10/2020","","","","2:45","","","","","12","Driving Pay","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","13786","","","","","12/10/2020","","","","7:6","","","","","12","Regular","K#696","","","","32,704","5,903","19","","","","","","","","","","","","","","","",""
"","13786","","","","","12/10/2020","","","","","19","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","14601","","","","","12/10/2020","","","","7:22","","","","","12","Regular","K#696","","","","13,065","2,924","0","","","","","","","","","","","","","","","",""
"","14601","","","","","12/10/2020","","","","","200","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","12324","","","","","12/10/2020","","","","7:9","","","","","12","Regular","K#696","","","","21,806","4,493","6","","","","","","","","","","","","","","","",""
"","12324","","","","","12/10/2020","","","","","148","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","10146","","","","","12/10/2020","","","","0.01","","","","No Show","12","","K#696","","","","","","","","","","","","","","","","","","","","","",""
"","13600","","","","","12/10/2020","","","","8:36","","","","","12","Regular","K#696","","","","12,489","5,215","41","","","","","","","","","","","","","","","",""
"","13600","","","","","12/10/2020","","","","","19","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","13741","","","","","12/10/2020","","","","7:12","","","","","12","Regular","K#696","","","","15,748","3,539","29","","","","","","","","","","","","","","","",""
"","13741","","","","","12/10/2020","","","","1:25","","","","","12","Driving Pay","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","11807","","","","","12/10/2020","","","","7:21","","","","","12","Regular","K#696","","","","11,301","2,799","10","","","","","","","","","","","","","","","",""
"","11807","","","","","12/10/2020","","","","","200","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","14915","","","","","12/10/2020","","","","7:20","","","","","12","Regular","K#696","","","","13,479","5,569","14","","","","","","","","","","","","","","","",""
"","14915","","","","","12/10/2020","","","","","19","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","14382","","","","","12/10/2020","","","","6:48","","","","","12","Regular","K#696","","","","23,412","4,983","25","","","","","","","","","","","","","","","",""
"","14382","","","","","12/10/2020","","","","","19","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","6182","","","","","12/10/2020","","","","7:19","","","","","12","Regular","K#696","","","","29,775","1,647","212","","","","","","","","","","","","","","","",""
"","6182","","","","","12/10/2020","","","","","19","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","14912","","","","","12/10/2020","","","","0.01","","","","No Show","12","","K#696","","","","","","","","","","","","","","","","","","","","","",""
"","1732","","","","","12/10/2020","","","","7:22","","","","","12","Regular","K#696","","","","16,183","5,493","11","","","","","","","","","","","","","","","",""
"","1732","","","","","12/10/2020","","","","","19","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
"","14911","","","","","12/10/2020","","","","7:19","","","","","12","Regular","K#696","","","","21,174","3,996","26","","","","","","","","","","","","","","","",""
"","14911","","","","","12/10/2020","","","","","19","","","","12","JSA","K#696","","","KROGER #696","","","","","","","","","","","","","","","","","","",""
