"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","2053","","","","","05/01/2020","","","","2.3","","","","","1","Regular","","","","BURNS #16","20318.7","8699.13","0","","","","","","","","","","","","","","","",""
"","2053","","","","","05/01/2020","","","","","112","","","","1","JSA","","","","","","","","","","","","","","","","","","","","","","",""
"","12406","","","","","05/01/2020","","","","2.59","","","","","1","Regular","","","","BURNS #16","18043.63","7725.1","13","","","","","","","","","","","","","","","",""
"","12406","","","","","05/01/2020","","","","2.4794","","","","","1","Driving Pay","","","","","","","","","","","","","","","","","","","","","","",""
"","2053","","","","","05/01/2020","","","","3","","","","","1","Regular","","","","BURNS #19       (SHELL)","26134","10732","16","","","","","","","","","","","","","","","",""
"","2053","","","","","05/01/2020","","","","0.5696","","","","","1","Travel Pay","","","","","","","","","","","","","","","","","","","","","","",""
"","12406","","","","","05/01/2020","","","","3.15","","","","","1","Regular","","","","BURNS #19       (SHELL)","24889.52","10220.95","17","","","","","","","","","","","","","","","",""
"","12406","","","","","05/01/2020","","","","0.5696","","","","","1","Driving Pay","","","","","","","","","","","","","","","","","","","","","","",""
"","2053","","","","","05/01/2020","","","","2.59","","","","","1","Regular","","","","BURNS #12      (SHELL)","24516.99","9769.88","31","","","","","","","","","","","","","","","",""
"","2053","","","","","05/01/2020","","","","1.913","","","","","1","Driving Pay","","","","","","","","","","","","","","","","","","","","","","",""
"","12406","","","","","05/01/2020","","","","3.29","","","","","1","Regular","","","","BURNS #12      (SHELL)","19300.61","7691.19","23","","","","","","","","","","","","","","","",""
"","12406","","","","","05/01/2020","","","","0.1712","","","","","1","Travel Pay","","","","","","","","","","","","","","","","","","","","","","",""
"","12406","","","","","05/01/2020","","","","","76","","","","1","JSA","","","","","","","","","","","","","","","","","","","","","","",""
"","14520","","","","","05/02/2020","","","","5.11","","","","","7","Regular","","","","MARKET PLACE #578 (274)","128217.61","40837.38","20","","","","","","","","","","","","","","","",""
"","14520","","","","","05/02/2020","","","","","152","","","","7","JSA","","","","","","","","","","","","","","","","","","","","","","",""
"","2053","","","","","05/02/2020","","","","5.08","","","","","1","Regular","","","","MARKET PLACE #578 (274)","128974.8","41078.54","46","","","","","","","","","","","","","","","",""
