"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","15254","","","","","06/02/2021","","","","3:13","","","","","25","Regular","SPR2060","","","","3,339","1,756","6","","","","","","","","","","","","","","","",""
"","15245","","","","","06/02/2021","","","","3:14","","","","","25","Regular","SPR2060","","","","1,365","671","19","","","","","","","","","","","","","","","",""
"","14933","","","","","06/02/2021","","","","3:50","","","","","25","Regular","SPR2060","","","","12,506","2,463","6","","","","","","","","","","","","","","","",""
"","14933","","","","","06/02/2021","","","","2:59","","","","","25","Driving Pay","SPR2060","","","SPRINTMART #2060","","","","","","","","","","","","","","","","","","",""
"","14935","","","","","06/02/2021","","","","3:14","","","","","25","Regular","SPR2060","","","","7,605","2,989","9","","","","","","","","","","","","","","","",""
"","14935","","","","","06/02/2021","","","","","138","","","","25","JSA","SPR2060","","","SPRINTMART #2060","","","","","","","","","","","","","","","","","","",""
"","14990","","","","","06/03/2021","","","","5:49","","","","","1","Regular","TRAD738","","","","12,339","4,065","23","","","","","","","","","","","","","","","",""
"","14990","","","","","06/03/2021","","","","","415","","","","1","JSA","TRAD738","","","TRADER JOES #738","","","","","","","","","","","","","","","","","","",""
"","11114","","","","","06/03/2021","","","","5:00","","","","","1","Regular","TRAD738","","","","19,708","5,111","0","","","","","","","","","","","","","","","",""
"","11114","","","","","06/03/2021","","","","","415","","","","1","JSA","TRAD738","","","TRADER JOES #738","","","","","","","","","","","","","","","","","","",""
"","82","","","","","06/03/2021","","","","6:20","","","","","1","Regular","TRAD738","","","","25,033","5,850","175","","","","","","","","","","","","","","","",""
"","82","","","","","06/03/2021","","","","8:48","","","","","1","Driving Pay","TRAD738","","","TRADER JOES #738","","","","","","","","","","","","","","","","","","",""
"","9926","","","","","06/03/2021","","","","5:30","","","","","1","Regular","TRAD738","","","","45,972","9,391","5","","","","","","","","","","","","","","","",""
"","9926","","","","","06/03/2021","","","","","266","","","","1","JSA","TRAD738","","","TRADER JOES #738","","","","","","","","","","","","","","","","","","",""
"","8824","","","","","06/03/2021","","","","5:30","","","","","1","Regular","TRAD738","","","","31,924","8,470","80","","","","","","","","","","","","","","","",""
"","8824","","","","","06/03/2021","","","","5:49","","","","","1","Driving Pay","TRAD738","","","TRADER JOES #738","","","","","","","","","","","","","","","","","","",""
"","14794","","","","","06/03/2021","","","","4:59","","","","","1","Regular","TRAD738","","","","19,270","5,254","0","","","","","","","","","","","","","","","",""
"","14794","","","","","06/03/2021","","","","","415","","","","1","JSA","TRAD738","","","TRADER JOES #738","","","","","","","","","","","","","","","","","","",""
"","12906","","","","","06/03/2021","","","","6:0","","","","","1","Regular","TRAD738","","","","17,116","5,253","12","","","","","","","","","","","","","","","",""
"","12906","","","","","06/03/2021","","","","","415","","","","1","JSA","TRAD738","","","TRADER JOES #738","","","","","","","","","","","","","","","","","","",""
"","10437","","","","","06/03/2021","","","","4:44","","","","","3","Regular","KEI194","","","","17,407","3,432","90","","","","","","","","","","","","","","","",""
"","10437","","","","","06/03/2021","","","","1:10","","","","","3","Driving Pay","KEI194","","","KEITHS #194","","","","","","","","","","","","","","","","","","",""
"","13423","","","","","06/03/2021","","","","4:20","","","","","3","Regular","KEI194","","","","17,255","4,208","0","","","","","","","","","","","","","","","",""
"","13423","","","","","06/03/2021","","","","","45","","","","3","JSA","KEI194","","","KEITHS #194","","","","","","","","","","","","","","","","","","",""
"","15148","","","","","06/03/2021","","","","4:19","","","","","3","Regular","KEI194","","","","10,183","3,648","14","","","","","","","","","","","","","","","",""
"","15148","","","","","06/03/2021","","","","","45","","","","3","JSA","KEI194","","","KEITHS #194","","","","","","","","","","","","","","","","","","",""
"","10437","","","","","06/03/2021","","","","2:49","","","","","3","Regular","KEI193","","","","12,971","3,449","29","","","","","","","","","","","","","","","",""
"","10437","","","","","06/03/2021","","","","1:04","","","","","3","Driving Pay","KEI193","","","KEITHS #193","","","","","","","","","","","","","","","","","","",""
"","13423","","","","","06/03/2021","","","","2:29","","","","","3","Regular","KEI193","","","","13,911","4,699","5","","","","","","","","","","","","","","","",""
"","13423","","","","","06/03/2021","","","","0:10","","","","","3","Travel Pay","KEI193","","","KEITHS #193","","","","","","","","","","","","","","","","","","",""
"","13423","","","","","06/03/2021","","","","","52","","","","3","JSA","KEI193","","","KEITHS #193","","","","","","","","","","","","","","","","","","",""
"","15148","","","","","06/03/2021","","","","2:29","","","","","3","Regular","KEI193","","","","8,097","2,679","5","","","","","","","","","","","","","","","",""
