"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","14924","","","","","12/14/2020","","","","5:25","","","","","30","Regular","LIQUORE","","","","697","697","22","","","","","","","","","","","","","","","",""
"","14924","","","","","12/14/2020","","","","","35","","","","30","JSA","LIQUORE","","","LIQUOR EXPRESS","","","","","","","","","","","","","","","","","","",""
"","6293","","","","","12/14/2020","","","","5:43","","","","","30","Regular","LIQUORE","","","","349","349","96","","","","","","","","","","","","","","","",""
"","6293","","","","","12/14/2020","","","","0:55","","","","","30","Driving Pay","LIQUORE","","","LIQUOR EXPRESS","","","","","","","","","","","","","","","","","","",""
"","10491","","","","","12/14/2020","","","","4:25","","","","","30","Regular","LIQUORE","","","","3,160","3,160","19","","","","","","","","","","","","","","","",""
"","10491","","","","","12/14/2020","","","","","35","","","","30","JSA","LIQUORE","","","LIQUOR EXPRESS","","","","","","","","","","","","","","","","","","",""
"","11807","","","","","12/14/2020","","","","5:54","","","","","30","Regular","LIQUORE","","","","895","895","18","","","","","","","","","","","","","","","",""
"","11807","","","","","12/14/2020","","","","","35","","","","30","JSA","LIQUORE","","","LIQUOR EXPRESS","","","","","","","","","","","","","","","","","","",""
"","14877","","","","","12/14/2020","","","","5:27","","","","","30","Regular","LIQUORE","","","","2,624","2,624","9","","","","","","","","","","","","","","","",""
"","14877","","","","","12/14/2020","","","","","35","","","","30","JSA","LIQUORE","","","LIQUOR EXPRESS","","","","","","","","","","","","","","","","","","",""
"","9616","","","","","12/14/2020","","","","5:43","","","","","30","Regular","LIQUORE","","","","1,998","1,998","49","","","","","","","","","","","","","","","",""
"","9616","","","","","12/14/2020","","","","","35","","","","30","JSA","LIQUORE","","","LIQUOR EXPRESS","","","","","","","","","","","","","","","","","","",""
"","14851","","","","","12/14/2020","","","","5:27","","","","","30","Regular","LIQUORE","","","","2,083","2,083","6","","","","","","","","","","","","","","","",""
"","14851","","","","","12/14/2020","","","","","35","","","","30","JSA","LIQUORE","","","LIQUOR EXPRESS","","","","","","","","","","","","","","","","","","",""
"","14924","","","","","12/14/2020","","","","3:42","","","","","30","Regular","CHEERSP","","","","883","883","19","","","","","","","","","","","","","","","",""
