"Username","Employee Id","Badge Id","Employee External Id","EIN Tax Id","EIN Name","Pay Date","In Date","Time In","Time Out","Total Time","Piece Quantity","Time Zone","Override","Time Off","Cost Center 1","Cost Center 2","Cost Center 3","Cost Center 4","Cost Center 5","Custom 1","Custom 2","Custom 3","Custom 4","Custom 5","Rate Override 1","Rate Override 2","Rate Override 3","Rate Override 4","Rate Override 5","Shift","PieceRate Override 1","Piece Rate Override 2","Piece Rate Override 3","Piece Rate Override 4","Piece Rate Override 5","Pay Category","Reason Code In","Reason Code Out","Note"
"","6398","","","","","12/01/2020","","","","3:25","","","","","1","Regular","SPR0101","","","","21,666","4,477","59","","","","","","","","","","","","","","","",""
"","6398","","","","","12/01/2020","","","","","3","","","","1","JSA","SPR0101","","","SPRINT MART #0101","","","","","","","","","","","","","","","","","","",""
"","14761","","","","","12/01/2020","","","","3:24","","","","","1","Regular","SPR0101","","","","4,063","983","0","","","","","","","","","","","","","","","",""
"","14761","","","","","12/01/2020","","","","","3","","","","1","JSA","SPR0101","","","SPRINT MART #0101","","","","","","","","","","","","","","","","","","",""
"","11114","","","","","12/01/2020","","","","3:35","","","","","1","Regular","SPR0101","","","","11,299","4,945","19","","","","","","","","","","","","","","","",""
"","11114","","","","","12/01/2020","","","","","3","","","","1","JSA","SPR0101","","","SPRINT MART #0101","","","","","","","","","","","","","","","","","","",""
"","82","","","","","12/01/2020","","","","3:35","","","","","1","Regular","SPR0101","","","","9,849","3,056","56","","","","","","","","","","","","","","","",""
"","82","","","","","12/01/2020","","","","0:17","","","","","1","Driving Pay","SPR0101","","","SPRINT MART #0101","","","","","","","","","","","","","","","","","","",""
"","14794","","","","","12/01/2020","","","","3:35","","","","","1","Regular","SPR0101","","","","6,831","3,431","0","","","","","","","","","","","","","","","",""
"","14794","","","","","12/01/2020","","","","","3","","","","1","JSA","SPR0101","","","SPRINT MART #0101","","","","","","","","","","","","","","","","","","",""
"","6398","","","","","12/01/2020","","","","3:29","","","","","1","Regular","SPR0114","","","","26,390","4,479","19","","","","","","","","","","","","","","","",""
"","6398","","","","","12/01/2020","","","","0:21","","","","","1","Travel Pay","SPR0114","","","SPRINT MART #0114","","","","","","","","","","","","","","","","","","",""
"","14761","","","","","12/01/2020","","","","3:30","","","","","1","Regular","SPR0114","","","","4,899","870","7","","","","","","","","","","","","","","","",""
"","14761","","","","","12/01/2020","","","","0:21","","","","","1","Travel Pay","SPR0114","","","SPRINT MART #0114","","","","","","","","","","","","","","","","","","",""
"","11114","","","","","12/01/2020","","","","3:29","","","","","1","Regular","SPR0114","","","","10,919","4,655","8","","","","","","","","","","","","","","","",""
"","11114","","","","","12/01/2020","","","","0:21","","","","","1","Travel Pay","SPR0114","","","SPRINT MART #0114","","","","","","","","","","","","","","","","","","",""
"","82","","","","","12/01/2020","","","","3:30","","","","","1","Regular","SPR0114","","","","9,502","3,311","57","","","","","","","","","","","","","","","",""
"","82","","","","","12/01/2020","","","","0:21","","","","","1","Driving Pay","SPR0114","","","SPRINT MART #0114","","","","","","","","","","","","","","","","","","",""
"","14794","","","","","12/01/2020","","","","3:30","","","","","1","Regular","SPR0114","","","","6,837","3,473","9","","","","","","","","","","","","","","","",""
"","14794","","","","","12/01/2020","","","","0:21","","","","","1","Travel Pay","SPR0114","","","SPRINT MART #0114","","","","","","","","","","","","","","","","","","",""
"","11114","","","","","12/02/2020","","","","3:25","","","","","1","Regular","JFM#477","","","","14,597","5,378","0","","","","","","","","","","","","","","","",""
"","82","","","","","12/02/2020","","","","3:25","","","","","1","Regular","JFM#477","","","","20,100","8,396","15","","","","","","","","","","","","","","","",""
"","82","","","","","12/02/2020","","","","0:14","","","","","1","Driving Pay","JFM#477","","","JR FOOD MART #477","","","","","","","","","","","","","","","","","","",""
"","11114","","","","","12/02/2020","","","","3:29","","","","","1","Regular","JFM#070","","","","9,256","4,857","20","","","","","","","","","","","","","","","",""
"","11114","","","","","12/02/2020","","","","1:03","","","","","1","Travel Pay","JFM#070","","","JR FOOD MART #070","","","","","","","","","","","","","","","","","","",""
"","11114","","","","","12/02/2020","","","","","50","","","","1","JSA","JFM#070","","","JR FOOD MART #070","","","","","","","","","","","","","","","","","","",""
"","82","","","","","12/02/2020","","","","3:34","","","","","1","Regular","JFM#070","","","","19,861","7,760","44","","","","","","","","","","","","","","","",""
"","82","","","","","12/02/2020","","","","2:13","","","","","1","Driving Pay","JFM#070","","","JR FOOD MART #070","","","","","","","","","","","","","","","","","","",""
"","10052","","","","","12/03/2020","","","","7:0","","","","","1","Regular","RIPLEYM","","","","24,335","4,972","107","","","","","","","","","","","","","","","",""
"","10052","","","","","12/03/2020","","","","7:23","","","","","1","Driving Pay","RIPLEYM","","","RIPLEY MARKET ACE HDW #592","","","","","","","","","","","","","","","","","","",""
"","10673","","","","","12/03/2020","","","","2:59","","","","","1","Regular","RIPLEYM","","","","50,989","6,292","23","","","","","","","","","","","","","","","",""
"","10673","","","","","12/03/2020","","","","5:58","","","","","1","Driving Pay","RIPLEYM","","","RIPLEY MARKET ACE HDW #592","","","","","","","","","","","","","","","","","","",""
"","13424","","","","","12/03/2020","","","","7:45","","","","","1","Regular","RIPLEYM","","","","23,708","9,985","10","","","","","","","","","","","","","","","",""
"","13424","","","","","12/03/2020","","","","","404","","","","1","JSA","RIPLEYM","","","RIPLEY MARKET ACE HDW #592","","","","","","","","","","","","","","","","","","",""
"","11114","","","","","12/03/2020","","","","8:29","","","","","1","Regular","RIPLEYM","","","","12,286","9,641","116","","","","","","","","","","","","","","","",""
"","11114","","","","","12/03/2020","","","","","404","","","","1","JSA","RIPLEYM","","","RIPLEY MARKET ACE HDW #592","","","","","","","","","","","","","","","","","","",""
"","13426","","","","","12/03/2020","","","","7:14","","","","","1","Regular","RIPLEYM","","","","11,532","2,857","5","","","","","","","","","","","","","","","",""
"","13426","","","","","12/03/2020","","","","","404","","","","1","JSA","RIPLEYM","","","RIPLEY MARKET ACE HDW #592","","","","","","","","","","","","","","","","","","",""
"","82","","","","","12/03/2020","","","","8:59","","","","","1","Regular","RIPLEYM","","","","13,159","3,512","377","","","","","","","","","","","","","","","",""
"","82","","","","","12/03/2020","","","","8:34","","","","","1","Driving Pay","RIPLEYM","","","RIPLEY MARKET ACE HDW #592","","","","","","","","","","","","","","","","","","",""
"","14865","","","","","12/03/2020","","","","6:54","","","","","1","Regular","RIPLEYM","","","","7,421","2,104","13","","","","","","","","","","","","","","","",""
"","14865","","","","","12/03/2020","","","","","345","","","","1","JSA","RIPLEYM","","","RIPLEY MARKET ACE HDW #592","","","","","","","","","","","","","","","","","","",""
